aviris_wl,aviris_35_bl,aviris_60_mixed,aviris_39_nl,ref_albedo_prospect,boreas_aspen,boreas_alder,boreas_balsampoplar,boreas_blackspruce,boreas_jackpine,boreas_hazelnut,boreas_mixed,aspen,alder,balsampoplar,blackspruce,jackpine,hazelnut,mixed
423.04,0.007088889,0.006766667,0.007566667,0.010241854,0.101842336,0.095,0.1576875,0.10903125,0.074661765,0.1076625,0.105436793,0.102071935,0.09558696,0.159719346,0.137130003,0.084351265,0.111062642,0.117652297
432.58,0.009166667,0.008677778,0.010222222,0.009075903,0.102738158,0.091725,0.17105,0.108314583,0.076658824,0.10244375,0.105526371,0.102969777,0.092291725,0.173254025,0.136228642,0.086607499,0.105679076,0.117752253
442.14,0.011244444,0.011,0.012577778,0.009130847,0.106826118,0.092,0.18278125,0.1095625,0.080032353,0.10355625,0.108194309,0.107066953,0.092568425,0.185136436,0.137798163,0.09041884,0.10682671,0.120729289
451.72,0.013333333,0.013444444,0.014711111,0.012708078,0.110816349,0.093275,0.19136875,0.1091375,0.083227941,0.1061125,0.109976924,0.111066179,0.093851302,0.193834588,0.137263635,0.094029148,0.10946369,0.122718431
461.32,0.013855556,0.013866667,0.014911111,0.020695835,0.112378059,0.093875,0.19499375,0.108047917,0.084727941,0.108025,0.110212988,0.112631411,0.094455009,0.197506297,0.135893252,0.095723816,0.11143659,0.122981844
470.93,0.0145,0.0144,0.015711111,0.027189472,0.112432138,0.0947,0.1961625,0.10746875,0.085929412,0.10753125,0.109950444,0.112685612,0.095285107,0.198690107,0.135164827,0.097081211,0.110927246,0.122688883
480.55,0.0141,0.014455556,0.015255556,0.031244147,0.114063487,0.096375,0.19801875,0.10713125,0.087358824,0.10989375,0.110597368,0.114320638,0.096970456,0.200570275,0.134740349,0.09869613,0.113364358,0.123410758
490.19,0.014866667,0.015055556,0.016033333,0.049130946,0.122243191,0.101225,0.20660625,0.111052083,0.091554412,0.12098125,0.116647637,0.122518783,0.101850421,0.209268427,0.139671631,0.103436216,0.124802017,0.130161987
499.84,0.015377778,0.015466667,0.016611111,0.094416834,0.131404375,0.106475,0.21449375,0.115964583,0.096638235,0.13250625,0.123684479,0.131700621,0.107132859,0.21725756,0.145850145,0.109179811,0.136690994,0.138014091
509.5,0.017666667,0.017677778,0.018533333,0.18490066,0.166964145,0.1287,0.244325,0.13635,0.119769118,0.17550625,0.151657072,0.167340558,0.129495177,0.247473194,0.171489146,0.135312587,0.181048998,0.169227482
519.18,0.022666667,0.021833333,0.022844444,0.306083089,0.226073125,0.169925,0.29211875,0.17180625,0.162166176,0.24159375,0.198939688,0.226582797,0.170974886,0.295882779,0.216082926,0.183211877,0.249223639,0.221988081
528.86,0.029855556,0.027755556,0.028522222,0.39873126,0.285754507,0.215175,0.342525,0.2062125,0.205092647,0.30645625,0.245983503,0.286398728,0.216504465,0.346938527,0.259356109,0.231709286,0.316134593,0.274482214
538.55,0.035433333,0.032333333,0.032877778,0.447468862,0.321458224,0.24425,0.37450625,0.22518125,0.230169118,0.34975625,0.273319737,0.322182937,0.245759105,0.379331864,0.283213349,0.260040146,0.360802071,0.304985519
548.24,0.0393,0.035111111,0.035355556,0.467339969,0.336538487,0.257975,0.3889,0.23395625,0.241311765,0.37305625,0.285247368,0.337297198,0.259568906,0.393911081,0.294249779,0.27262887,0.38483792,0.318295041
557.95,0.039766667,0.0354,0.035511111,0.469233773,0.330032796,0.25455,0.38529375,0.228775,0.235404412,0.3726875,0.279403898,0.330776841,0.256122744,0.390258364,0.287733255,0.265954869,0.384457524,0.311774568
567.66,0.0371,0.033044444,0.033588889,0.438151937,0.300368322,0.231675,0.36199375,0.207991667,0.210944118,0.3456,0.254179995,0.30104549,0.23310641,0.366658137,0.261593789,0.238320152,0.356514561,0.283628319
577.37,0.032655556,0.029488889,0.030333333,0.390317706,0.266167664,0.205175,0.33480625,0.18469375,0.184226471,0.312275,0.225430707,0.266767728,0.206442679,0.339120319,0.232291701,0.208135126,0.322137108,0.251548249
587.08,0.029266667,0.026677778,0.027222222,0.359004656,0.244429276,0.18915,0.31770625,0.170691667,0.168097059,0.28958125,0.207560471,0.244980332,0.190318669,0.321799981,0.214681101,0.189912462,0.298726656,0.231607636
596.8,0.0275,0.024866667,0.0255,0.342452059,0.231783454,0.1807,0.30816875,0.161989583,0.158760294,0.27543125,0.196886519,0.232306,0.18181646,0.312139588,0.203736379,0.179363984,0.284129778,0.21969704
606.52,0.025833333,0.023288889,0.024166667,0.325101897,0.215877105,0.169575,0.29468125,0.150877083,0.1461,0.25726875,0.183377094,0.216363791,0.170622724,0.298478297,0.189760045,0.165060655,0.265393679,0.204622465
616.24,0.023688889,0.021677778,0.022866667,0.293067972,0.198248586,0.156925,0.2798625,0.1394,0.133172059,0.23690625,0.168824293,0.198695528,0.157894565,0.283468604,0.17532517,0.150454944,0.244388101,0.188383631
625.96,0.021977778,0.020177778,0.021511111,0.27451611,0.188311842,0.150675,0.272225,0.133133333,0.126733824,0.22514375,0.160722588,0.188736383,0.15160595,0.275732693,0.167443503,0.143181163,0.232254124,0.179343294
635.67,0.020422222,0.019033333,0.020022222,0.261923043,0.17488148,0.142425,0.2617625,0.124595833,0.118155882,0.205625,0.149738657,0.175275743,0.143304977,0.26513538,0.156705779,0.133489989,0.212118943,0.167086807
645.38,0.019766667,0.018544444,0.019777778,0.217408685,0.15432125,0.129625,0.24466875,0.111366667,0.105051471,0.17568125,0.132843958,0.154669161,0.130425892,0.247821373,0.140067286,0.118684904,0.181229525,0.148234753
